employment_income,deducts,amt0,amt1,amt2,amt3,amt4,amt5,amt6,amt7
200000.0,92000.0,3715.0,4278.0,4580.0,4883.0,5186.0,5488.0,5791.0,6093.0
200000.0,92500.0,3755.0,4312.0,4614.0,4917.0,5220.0,5522.0,5825.0,6127.0
200000.0,93000.0,3794.0,4346.0,4648.0,4951.0,5254.0,5556.0,5859.0,6161.0
200000.0,93500.0,3833.0,4380.0,4682.0,4985.0,5288.0,5590.0,5893.0,6195.0
200000.0,94000.0,3872.0,4414.0,4716.0,5019.0,5322.0,5624.0,5927.0,6229.0
200000.0,94500.0,3912.0,4448.0,4750.0,5053.0,5356.0,5658.0,5961.0,6263.0
200000.0,95000.0,3951.0,4482.0,4784.0,5087.0,5390.0,5692.0,5995.0,6297.0
200000.0,95500.0,3990.0,4516.0,4818.0,5121.0,5424.0,5726.0,6029.0,6331.0
200000.0,96000.0,4029.0,4550.0,4852.0,5155.0,5458.0,5760.0,6063.0,6365.0
200000.0,96500.0,4069.0,4584.0,4886.0,5189.0,5492.0,5794.0,6097.0,6399.0
200000.0,97000.0,4108.0,4618.0,4920.0,5223.0,5526.0,5828.0,6131.0,6433.0
200000.0,97500.0,4147.0,4652.0,4954.0,5257.0,5560.0,5862.0,6165.0,6467.0
200000.0,98000.0,4186.0,4686.0,4988.0,5291.0,5594.0,5896.0,6199.0,6501.0
200000.0,98500.0,4226.0,4720.0,5022.0,5325.0,5628.0,5930.0,6233.0,6535.0
200000.0,99000.0,4265.0,4754.0,5056.0,5359.0,5662.0,5964.0,6267.0,6569.0
200000.0,99500.0,4304.0,4788.0,5090.0,5393.0,5696.0,5998.0,6301.0,6603.0
200000.0,100000.0,4343.0,4822.0,5124.0,5427.0,5730.0,6032.0,6335.0,6637.0
200000.0,100500.0,4383.0,4856.0,5158.0,5461.0,5764.0,6066.0,6369.0,6671.0
200000.0,101000.0,4422.0,4890.0,5192.0,5495.0,5798.0,6100.0,6403.0,6705.0
200000.0,101500.0,4461.0,4924.0,5226.0,5529.0,5832.0,6134.0,6437.0,6739.0
