employment_income,amt_minus_basic_0,amt_minus_basic_1,amt_minus_basic_2,amt_minus_basic_3,amt_minus_basic_4,amt_minus_basic_5,amt_minus_basic_6,amt_minus_basic_7
446000.0,-29875.078,-26451.441,-26451.441,-26451.441,-26451.441,-26451.441,-26451.441,-26451.441
448000.0,-30145.986,-26722.352,-26722.352,-26722.352,-26722.352,-26722.352,-26722.352,-26722.352
450000.0,-30395.896,-26993.262,-26993.262,-26993.262,-26993.262,-26993.262,-26993.262,-26993.262
452000.0,-30598.807,-27264.172,-27264.172,-27264.172,-27264.172,-27264.172,-27264.172,-27264.172
454000.0,-30801.717,-27535.082,-27535.082,-27535.082,-27535.082,-27535.082,-27535.082,-27535.082
456000.0,-31004.627,-27805.992,-27805.992,-27805.992,-27805.992,-27805.992,-27805.992,-27805.992
458000.0,-31207.537,-28076.902,-28076.902,-28076.902,-28076.902,-28076.902,-28076.902,-28076.902
460000.0,-31410.447,-28347.812,-28347.812,-28347.812,-28347.812,-28347.812,-28347.812,-28347.812
462000.0,-31613.357,-28618.723,-28618.723,-28618.723,-28618.723,-28618.723,-28618.723,-28618.723
464000.0,-31816.268,-28889.633,-28889.633,-28889.633,-28889.633,-28889.633,-28889.633,-28889.633
466000.0,-32019.178,-29160.543,-29160.543,-29160.543,-29160.543,-29160.543,-29160.543,-29160.543
468000.0,-32222.088,-29430.453,-29430.453,-29430.453,-29430.453,-29430.453,-29430.453,-29430.453
470000.0,-32424.998,-29701.361,-29701.361,-29701.361,-29701.361,-29701.361,-29701.361,-29701.361
472000.0,-32627.908,-29972.271,-29972.271,-29972.271,-29972.271,-29972.271,-29972.271,-29972.271
474000.0,-32830.816,-30243.182,-30243.182,-30243.182,-30243.182,-30243.182,-30243.182,-30243.182
476000.0,-33033.727,-30514.092,-30514.092,-30514.092,-30514.092,-30514.092,-30514.092,-30514.092
478000.0,-33236.637,-30785.002,-30785.002,-30785.002,-30785.002,-30785.002,-30785.002,-30785.002
480000.0,-33439.547,-31055.912,-31055.912,-31055.912,-31055.912,-31055.912,-31055.912,-31055.912
482000.0,-33642.457,-31326.822,-31326.822,-31326.822,-31326.822,-31326.822,-31326.822,-31326.822
484000.0,-33845.367,-31597.732,-31597.732,-31597.732,-31597.732,-31597.732,-31597.732,-31597.732
486000.0,-34048.277,-31868.643,-31868.643,-31868.643,-31868.643,-31868.643,-31868.643,-31868.643
488000.0,-34251.188,-32139.553,-32139.553,-32139.553,-32139.553,-32139.553,-32139.553,-32139.553
490000.0,-34454.098,-32409.463,-32409.463,-32409.463,-32409.463,-32409.463,-32409.463,-32409.463
492000.0,-34657.008,-32680.371,-32680.371,-32680.371,-32680.371,-32680.371,-32680.371,-32680.371
494000.0,-34859.918,-32951.28,-32951.28,-32951.28,-32951.28,-32951.28,-32951.28,-32951.28
496000.0,-35062.83,-33222.19,-33222.19,-33222.19,-33222.19,-33222.19,-33222.19,-33222.19
498000.0,-35265.74,-33493.1,-33493.1,-33493.1,-33493.1,-33493.1,-33493.1,-33493.1
500000.0,-35468.65,-33757.01,-33757.01,-33757.01,-33757.01,-33757.01,-33757.01,-33757.01
502000.0,-35671.56,-33959.92,-33959.92,-33959.92,-33959.92,-33959.92,-33959.92,-33959.92
504000.0,-35874.47,-34162.832,-34162.832,-34162.832,-34162.832,-34162.832,-34162.832,-34162.832
506000.0,-36077.38,-34365.742,-34365.742,-34365.742,-34365.742,-34365.742,-34365.742,-34365.742
508000.0,-36280.29,-34568.652,-34568.652,-34568.652,-34568.652,-34568.652,-34568.652,-34568.652
510000.0,-36483.195,-34771.562,-34771.562,-34771.562,-34771.562,-34771.562,-34771.562,-34771.562
512000.0,-36686.105,-34974.473,-34974.473,-34974.473,-34974.473,-34974.473,-34974.473,-34974.473
514000.0,-36889.016,-35177.383,-35177.383,-35177.383,-35177.383,-35177.383,-35177.383,-35177.383
516000.0,-37091.926,-35380.293,-35380.293,-35380.293,-35380.293,-35380.293,-35380.293,-35380.293
518000.0,-37294.836,-35583.203,-35583.203,-35583.203,-35583.203,-35583.203,-35583.203,-35583.203
520000.0,-37497.746,-35786.113,-35786.113,-35786.113,-35786.113,-35786.113,-35786.113,-35786.113
522000.0,-37700.656,-35989.023,-35989.023,-35989.023,-35989.023,-35989.023,-35989.023,-35989.023
524000.0,-37903.566,-36191.934,-36191.934,-36191.934,-36191.934,-36191.934,-36191.934,-36191.934
526000.0,-38106.477,-36394.844,-36394.844,-36394.844,-36394.844,-36394.844,-36394.844,-36394.844
528000.0,-38309.387,-36597.754,-36597.754,-36597.754,-36597.754,-36597.754,-36597.754,-36597.754
530000.0,-38512.297,-36800.664,-36800.664,-36800.664,-36800.664,-36800.664,-36800.664,-36800.664
532000.0,-38715.207,-37003.57,-37003.57,-37003.57,-37003.57,-37003.57,-37003.57,-37003.57
534000.0,-38918.117,-37206.48,-37206.48,-37206.48,-37206.48,-37206.48,-37206.48,-37206.48
536000.0,-39121.027,-37409.39,-37409.39,-37409.39,-37409.39,-37409.39,-37409.39,-37409.39
